Date,Mean,Qual,Cutoff,Site
2022-01-14 22:00:00,0.615,2,2022-01-14,405325
2022-01-14 23:00:00,0.617,2,2022-01-14,405325
2022-01-15 00:00:00,0.617,2,2022-01-15,405325
2022-01-15 01:00:00,0.618,2,2022-01-15,405325
2022-01-15 02:00:00,0.619,2,2022-01-15,405325
2022-01-15 03:00:00,0.619,2,2022-01-15,405325
2022-01-15 04:00:00,0.619,2,2022-01-15,405325
2022-01-15 05:00:00,0.617,2,2022-01-15,405325
2022-01-15 06:00:00,0.611,2,2022-01-15,405325
2022-01-15 07:00:00,0.608,2,2022-01-15,405325
2022-01-15 08:00:00,0.604,2,2022-01-15,405325
2022-01-15 09:00:00,0.602,2,2022-01-15,405325
2022-01-15 10:00:00,0.6,2,2022-01-15,405325
2022-01-15 11:00:00,0.598,2,2022-01-15,405325
2022-01-15 12:00:00,0.595,2,2022-01-15,405325
2022-01-15 13:00:00,0.594,2,2022-01-15,405325
2022-01-15 14:00:00,0.59,2,2022-01-15,405325
2022-01-15 15:00:00,0.59,2,2022-01-15,405325
2022-01-15 16:00:00,0.59,2,2022-01-15,405325
2022-01-15 17:00:00,0.589,2,2022-01-15,405325
2022-01-15 18:00:00,0.589,2,2022-01-15,405325
2022-01-15 19:00:00,0.593,2,2022-01-15,405325
2022-01-15 20:00:00,0.596,2,2022-01-15,405325
2022-01-15 21:00:00,0.597,2,2022-01-15,405325
2022-01-15 22:00:00,0.599,2,2022-01-15,405325
2022-01-15 23:00:00,0.602,2,2022-01-15,405325
2022-01-16 00:00:00,0.603,2,2022-01-16,405325
2022-01-16 01:00:00,0.603,2,2022-01-16,405325
2022-01-16 02:00:00,0.606,2,2022-01-16,405325
2022-01-16 03:00:00,0.606,2,2022-01-16,405325
2022-01-16 04:00:00,0.606,2,2022-01-16,405325
2022-01-16 05:00:00,0.607,2,2022-01-16,405325
2022-01-16 06:00:00,0.608,2,2022-01-16,405325
2022-01-16 07:00:00,0.61,2,2022-01-16,405325
2022-01-16 08:00:00,0.611,2,2022-01-16,405325
2022-01-16 09:00:00,0.612,2,2022-01-16,405325
2022-01-16 10:00:00,0.612,2,2022-01-16,405325
2022-01-16 11:00:00,0.614,2,2022-01-16,405325
2022-01-16 12:00:00,0.615,2,2022-01-16,405325
2022-01-16 13:00:00,0.608,2,2022-01-16,405325
2022-01-16 14:00:00,0.604,2,2022-01-16,405325
2022-01-16 15:00:00,0.603,2,2022-01-16,405325
2022-01-16 16:00:00,0.602,2,2022-01-16,405325
2022-01-16 17:00:00,0.601,2,2022-01-16,405325
2022-01-16 18:00:00,0.599,2,2022-01-16,405325
2022-01-16 19:00:00,0.598,2,2022-01-16,405325
2022-01-16 20:00:00,0.598,2,2022-01-16,405325
2022-01-16 21:00:00,0.598,2,2022-01-16,405325
2022-01-16 22:00:00,0.599,2,2022-01-16,405325
2022-01-16 23:00:00,0.601,2,2022-01-16,405325
2022-01-17 00:00:00,0.601,2,2022-01-17,405325
2022-01-17 01:00:00,0.601,2,2022-01-17,405325
2022-01-17 02:00:00,0.603,2,2022-01-17,405325
2022-01-17 03:00:00,0.603,2,2022-01-17,405325
2022-01-17 04:00:00,0.603,2,2022-01-17,405325
2022-01-17 05:00:00,0.603,2,2022-01-17,405325
2022-01-17 06:00:00,0.602,2,2022-01-17,405325
