Site,Site name,Lat,Lon
025000,Alawoona,-34.7314,140.5036
025002,Purnong,-34.8276,139.6673
025004,Galga,-34.6922,139.9644
025006,Karoonda,-35.0900,139.8972
025010,Mindarie,-34.8133,140.2177
025013,Parilla,-35.2984,140.6681
025014,Paruna,-34.7169,140.7352
025015,Pinnaroo,-35.2680,140.9075
025018,Alawoona,-34.7884,140.5003
025023,Peebinga,-34.9295,140.9113
025025,Perponda,-34.9732,139.8071
025032,Marama,-35.1732,140.1818
025036,Kulkami,-35.1527,140.2881
025039,Lowaldie,-35.0459,139.9791
025042,Sherlock,-35.2440,139.8261
025046,Pinnaroo,-35.0662,140.8560
025048,Meribah,-34.7276,140.8569
025050,Caliph,-34.6345,140.2432
025051,Mantung,-34.5862,140.0779
025054,Lameroo,-35.2069,140.3589
025056,Blanchetown,-34.4177,139.7822
025059,Alawoona Comparison,-34.7313,140.5036
025502,Cooke Plains,-35.3790,139.5617
025503,Coomandook,-35.4698,139.6967
025504,Coonalpyn,-35.6929,139.8522
025506,Geranium,-35.3800,140.1588
025507,Keith,-36.0980,140.3556
025512,Parrakie,-35.3805,140.2519
025513,Peake,-35.3627,139.9503
025514,Tintinara,-35.8832,140.0563
025518,Wirrega,-36.1821,140.5720
025519,Wolseley,-36.3654,140.9096
025523,Meningie,-35.8597,139.5599
025525,Bordertown,-36.1881,140.7999
025529,Meningie,-35.8095,139.4747
025539,Wilkawatt,-35.4143,140.3590
025542,Lameroo,-35.3864,140.6137
025543,Ki Ki,-35.5504,139.8654
025546,Tintinara,-35.9899,139.9685
025556,Meningie,-35.6969,139.4943
025557,Keith,-36.1058,140.3273
025558,Netherton,-35.4693,139.9453
025560,Bordertown,-36.3098,140.7400
025561,Wolseley,-36.3994,140.8424
