Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Sussex Inlet at Sussex Rd Boat Ramp,3.18pm Thu,0.34,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Lake Conjola,3.36pm Thu,0.33,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Ulladulla Boat Harbour,3.16pm Thu,-0.18,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Millards Creek,11.49am Thu,2.00,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Burrill Lake,3.17pm Thu,0.31,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Lake Tabourie,3.42pm Thu,0.35,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Clyde R at Brooman,3.30pm Thu,1.75,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Araluen Ck at Neringla Rd,3.30pm Thu,0.81,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Nymboida R at Nymboida,3.00pm Thu,1.38,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Deua R at Riverview,3.30pm Thu,1.78,steady,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Moruya R at Moruya,3.15pm Thu,0.09,falling,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Tuross R at Tuross Vale,3.15pm Thu,0.73,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Wadbilliga R at Wadbilliga,3.30pm Thu,1.27,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Tuross R D/S Wadbilliga Junct,3.30pm Thu,0.92,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Tuross R at Eurobodalla,3.30pm Thu,2.12,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Wagonga R at Barlows Bay,3.15pm Thu,0.18,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Wallaga Lake at Regatta Pt,3.15pm Thu,0.31,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Bermagui R at Boat Harbour,3.16pm Thu,0.43,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Brogo Dam,3.30pm Thu,102.83,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Currambene Ck at Falls Ck,3.00pm Thu,0.48,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Crooked R at Gerroa,3.15pm Thu,0.26,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Currarong,3.44pm Thu,-0.08,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Broughton Creek,3.28pm Thu,0.51,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Bielsdown Ck at Dorrigo,2.00pm Thu,0.74,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Boyd R at Broadmeadows,3.00pm Thu,1.43,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Guy Fawkes R at Ebor,3.00pm Thu,0.59,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Aberfoyle R at Aberfoyle,3.00pm Thu,0.77,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Mann R at Mitchell,3.00pm Thu,1.00,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Mann R at Shannon Vale,3.00pm Thu,0.76,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Shoalhaven R at Mountview,2.30pm Thu,1.93,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Shoalhaven R at Warri,3.30pm Thu,2.09,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Mongarlowe R at Mongarlowe,2.15pm Thu,1.31,steady,,2022-10-13 16:07:30.866648+11:00,NSW
